"","Family","common_name","species_name","Date","Year","latitude","longitude"
"1","Turtles","Leatherback Sea Turtle","Leatherback - Dermochelys coriacea",2011-09-22,2011,41.201228,-71.560435
"2","Turtles","Loggerhead Sea Turtle","Loggerhead - Caretta caretta",2011-09-12,2011,41.197498,-71.563428
"3","Turtles","Leatherback Sea Turtle","Leatherback - Dermochelys coriacea",2011-08-22,2011,41.205608,-71.579317
"4","Turtles","Loggerhead Sea Turtle","Loggerhead - Caretta caretta",2011-08-19,2011,41.054809,-73.437853
"5","Turtles","Green Sea Turtle","Green Turtle - Chelonia mydas",2011-08-17,2011,41.268195,-72.630744
"6","Turtles","Leatherback Sea Turtle","Leatherback - Dermochelys coriacea",2011-08-15,2011,41.326682,-71.750336
"7","Turtles","Leatherback Sea Turtle","Leatherback - Dermochelys coriacea",2011-08-15,2011,41.338339,-71.69947
"8","Turtles","Leatherback Sea Turtle","Leatherback - Dermochelys coriacea",2011-08-14,2011,41.27133,-71.55883
"9","Turtles","Leatherback Sea Turtle","Leatherback - Dermochelys coriacea",2011-08-12,2011,41.299863,-71.981564
"10","Turtles","Loggerhead Sea Turtle","Loggerhead - Caretta caretta",2011-08-10,2011,41.3857,-71.4754
"11","Turtles","Leatherback Sea Turtle","Leatherback - Dermochelys coriacea",2011-08-09,2011,41.369417,-71.580233
"12","Turtles","Leatherback Sea Turtle","Leatherback - Dermochelys coriacea",2011-08-08,2011,41.29916,-72.0401
"13","Turtles","Kemp's Ridley","Kemp's Ridley - Lepidochelys kempii",2011-08-06,2011,41.369465,-71.494389
"14","Turtles","Loggerhead Sea Turtle","Loggerhead - Caretta caretta",2011-08-03,2011,41.199077,-71.59297
"15","Turtles","Turtles","Unknown/Unidentified",2011-07-27,2011,41.242053,-72.760593
"16","Turtles","Loggerhead Sea Turtle","Loggerhead - Caretta caretta",2011-07-27,2011,41.151257,-71.664505
"17","Turtles","Loggerhead Sea Turtle","Loggerhead - Caretta caretta",2011-07-25,2011,41.198693,-71.593008
"18","Turtles","Loggerhead Sea Turtle","Loggerhead - Caretta caretta",2011-07-22,2011,41.544762,-71.386081
"19","Turtles","Loggerhead Sea Turtle","Loggerhead - Caretta caretta",2011-07-16,2011,41.37608,-71.51764
"20","Turtles","Kemp's Ridley","Kemp's Ridley - Lepidochelys kempii",2010-12-08,2010,41.28515,-71.955683
"21","Turtles","Leatherback Sea Turtle","Leatherback - Dermochelys coriacea",2010-10-06,2010,41.32865,-71.93332
"22","Turtles","Leatherback Sea Turtle","Leatherback - Dermochelys coriacea",2010-09-26,2010,41.26753,-71.83993
"23","Turtles","Leatherback Sea Turtle","Leatherback - Dermochelys coriacea",2010-09-14,2010,41.37172,-71.49868
"24","Turtles","Leatherback Sea Turtle","Leatherback - Dermochelys coriacea",2010-09-11,2010,41.318417,-71.824517
