dataset_id,row_id,latitude,longitude,species_name,scientific_name,common_name,itis_tsn,group_size,series_id,date_time,timezone,ds_type,platform,provider,lprecision,tprecision,oceano,notes,last_mod
945,945_528,41.393632,-71.468983,Unknown Species ,Caniformia,pinnipeds,552303,1,,12/29/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_528"", ""obsDate"": ""2011-12-29"", ""longitude"": -71.469, ""latitude"": 41.394, ""ZONE"": {""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": 10.23, ""8DAYS"": 10.32, ""MONTH"": 11.57, ""YEAR"": 12.58}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 10.6, ""MONTH"": 11.55, ""YEAR"": 16.69}, ""HYCOM"": {""MONTH"": 11.52, ""YEAR"": 12.63}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 4.22, ""YEAR"": 5.24}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 31.92, ""YEAR"": 31.68}}, ""BATH"": {""ETOPO1"": 2.0}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_457,41.4835,-71.42053,Harbor Seal,Phoca vitulina,Harbor Seal,180649,1,,12/29/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_457"", ""obsDate"": ""2011-12-29"", ""longitude"": -71.421, ""latitude"": 41.483, ""ZONE"": {""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": 10.23, ""8DAYS"": 10.32, ""MONTH"": 11.57, ""YEAR"": 12.58}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": 6.36}, ""HYCOM"": {""MONTH"": -9999, ""YEAR"": -9999}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}}, ""SALINITY"": {""HYCOM"": {""MONTH"": -9999, ""YEAR"": -9999}}, ""BATH"": {""ETOPO1"": -5.0}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_746,41.480137,-71.245453,Common dolphin,Delphinus delphis,Short-beaked Common Dolphin,180438,1,,12/16/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_746"", ""obsDate"": ""2011-12-16"", ""longitude"": -71.245, ""latitude"": 41.48, ""ZONE"": {""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": 11.53, ""8DAYS"": 11.6, ""MONTH"": 11.54, ""YEAR"": 12.65}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 11.65, ""YEAR"": 18.31}, ""HYCOM"": {""MONTH"": -9999, ""YEAR"": -9999}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}}, ""SALINITY"": {""HYCOM"": {""MONTH"": -9999, ""YEAR"": -9999}}, ""BATH"": {""ETOPO1"": -2.0}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_456,41.3671,-71.49336,Harbor Seal,Phoca vitulina,Harbor Seal,180649,1,,12/14/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_456"", ""obsDate"": ""2011-12-14"", ""longitude"": -71.493, ""latitude"": 41.367, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": 11.66, ""8DAYS"": 11.77, ""MONTH"": 11.57, ""YEAR"": 12.58}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 11.56, ""YEAR"": 17.3}, ""HYCOM"": {""MONTH"": 10.8, ""YEAR"": 13.1}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": 4.2, ""MONTH"": 3.61, ""YEAR"": 5.41}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 31.82, ""YEAR"": 31.57}}, ""BATH"": {""ETOPO1"": -5.0}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_455,41.53909,-71.42386,Harbor Seal,Phoca vitulina,Harbor Seal,180649,1,,11/22/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_455"", ""obsDate"": ""2011-11-22"", ""longitude"": -71.424, ""latitude"": 41.539, ""ZONE"": {""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 12.1, ""YEAR"": 8.0}, ""HYCOM"": {""MONTH"": -9999, ""YEAR"": -9999}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}}, ""SALINITY"": {""HYCOM"": {""MONTH"": -9999, ""YEAR"": -9999}}, ""BATH"": {""ETOPO1"": -2.0}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_885,41.197741,-71.592879,Unidentified Odontocete,Odontoceti,toothed whales,180404,1,,11/19/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_885"", ""obsDate"": ""2011-11-19"", ""longitude"": -71.593, ""latitude"": 41.198, ""BATH"": {""S2004"": -1, ""ETOPO1"": -20.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": 12.95, ""8DAYS"": 13.1, ""MONTH"": 13.67, ""YEAR"": 12.7}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 13.67, ""YEAR"": 16.1}, ""HYCOM"": {""MONTH"": 13.34, ""YEAR"": 12.97}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": 2.67, ""MONTH"": 2.67, ""YEAR"": 3.3}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 31.89, ""YEAR"": 31.46}}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_745,41.422124,-71.455309,Common dolphin,Delphinus delphis,Short-beaked Common Dolphin,180438,1,,11/2/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_745"", ""obsDate"": ""2011-11-02"", ""longitude"": -71.455, ""latitude"": 41.422, ""ZONE"": {""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": 14.49, ""8DAYS"": 14.77, ""MONTH"": 13.56, ""YEAR"": 12.58}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 12.42, ""YEAR"": 15.69}, ""HYCOM"": {""MONTH"": 12.71, ""YEAR"": 12.95}}, ""CHLOR-A"": {""MODIS"": {""DAY"": 4.33, ""8DAYS"": 4.33, ""MONTH"": 4.33, ""YEAR"": 10.92}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 31.84, ""YEAR"": 31.58}}, ""BATH"": {""ETOPO1"": -14.0}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_744,41.631643,-71.338906,Common dolphin,Delphinus delphis,Short-beaked Common Dolphin,180438,1,,9/26/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_744"", ""obsDate"": ""2011-09-26"", ""longitude"": -71.339, ""latitude"": 41.632, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}, ""HYCOM"": {""MONTH"": -9999, ""YEAR"": -9999}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}}, ""SALINITY"": {""HYCOM"": {""MONTH"": -9999, ""YEAR"": -9999}}, ""BATH"": {""ETOPO1"": -2.0}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_454,41.479469,-71.275291,Harbor Seal,Phoca vitulina,Harbor Seal,180649,1,,9/26/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_454"", ""obsDate"": ""2011-09-26"", ""longitude"": -71.275, ""latitude"": 41.479, ""ZONE"": {""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": 20.65, ""8DAYS"": 19.97, ""MONTH"": 19.7, ""YEAR"": 12.58}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 19.5, ""MONTH"": 20.33, ""YEAR"": 18.26}, ""HYCOM"": {""MONTH"": 20.79, ""YEAR"": 13.2}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 31.64, ""YEAR"": 31.71}}, ""BATH"": {""ETOPO1"": -6.0}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_1141,41.201228,-71.560435,Leatherback - Dermochelys coriacea,Dermochelys coriacea,Leatherback Sea Turtle,173843,1,,9/22/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_1141"", ""obsDate"": ""2011-09-22"", ""longitude"": -71.56, ""latitude"": 41.201, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": 19.34, ""8DAYS"": 19.32, ""MONTH"": 19.76, ""YEAR"": 12.7}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 20.22, ""YEAR"": 17.21}, ""HYCOM"": {""MONTH"": 20.03, ""YEAR"": 12.97}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 31.67, ""YEAR"": 31.46}}, ""BATH"": {""ETOPO1"": -3.0}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
